iter	Passed	Remaining
528	25221	22456
529	25268	22408
530	25322	22365
531	25381	22327
532	25448	22297
533	25506	22258
534	25572	22226
535	25627	22185
536	25674	22136
537	25726	22092
538	25789	22057
539	25855	22024
540	25907	21980
541	25957	21934
542	26004	21885
543	26070	21853
544	26139	21822
545	26194	21780
546	26247	21736
547	26295	21688
548	26345	21642
549	26406	21604
550	26453	21556
551	26501	21508
552	26553	21463
553	26605	21419
554	26659	21375
555	26718	21336
556	26771	21292
557	26826	21249
558	26876	21203
559	26927	21156
560	26982	21114
561	27037	21072
562	27087	21024
563	27128	20971
564	27169	20918
565	27216	20868
566	27271	20826
567	27328	20784
568	27377	20737
569	27431	20693
570	27483	20648
571	27526	20596
572	27584	20556
573	27630	20506
574	27691	20467
575	27733	20414
576	27772	20360
577	27817	20309
578	27860	20257
579	27903	20205
580	27959	20163
581	28009	20116
582	28063	20073
583	28110	20023
584	28162	19978
585	28210	19930
586	28271	19891
587	28325	19847
588	28370	19796
589	28410	19742
590	28455	19692
591	28499	19641
592	28550	19595
593	28591	19542
594	28638	19493
595	28690	19447
596	28730	19393
597	28780	19347
598	28833	19302
599	28876	19250
600	28922	19201
601	28963	19148
602	29000	19093
603	29043	19041
604	29101	18999
605	29144	18948
606	29187	18897
607	29226	18843
608	29267	18790
609	29308	18737
610	29347	18684
611	29400	18639
612	29444	18589
613	29488	18538
614	29526	18484
615	29575	18436
616	29635	18396
617	29683	18348
618	29730	18299
619	29776	18249
620	29818	18198
621	29855	18143
622	29895	18090
623	29938	18039
624	29978	17987
625	30022	17936
626	30063	17884
627	30107	17834
628	30158	17788
629	30209	17742
630	30253	17691
631	30306	17647
632	30359	17601
633	30405	17552
634	30449	17502
635	30491	17450
636	30531	17398
637	30574	17348
638	30614	17295
639	30654	17243
640	30694	17191
641	30736	17139
642	30777	17088
643	30818	17036
644	30865	16987
645	30909	16938
646	30950	16886
647	30997	16838
648	31049	16792
649	31103	16748
650	31143	16696
651	31191	16648
652	31248	16605
653	31291	16555
654	31345	16510
655	31389	16460
656	31433	16410
657	31479	16361
658	31518	16309
659	31559	16257
660	31597	16205
661	31642	16155
662	31696	16111
663	31743	16063
664	31789	16014
